id,title,difficulty,totalNotes,sub_constant_1,main_constant,sub_constant_2,stamina,handspeed,burst,complex,rhythm
394,宇宙SAMURAI,oni,765,5.32 ,5.08 ,4.66 ,6.21 ,0.90 ,0.05 ,6.68 ,4.69 
395,junction,oni,604,7.79 ,7.23 ,6.16 ,5.05 ,0.88 ,0.02 ,12.38 ,5.93 
396,super star shooter,oni,654,4.32 ,4.25 ,2.42 ,5.88 ,4.49 ,5.19 ,0.65 ,0.13 
397,STAGE 0.ac11,oni,765,6.84 ,7.22 ,7.99 ,4.64 ,0.85 ,0.08 ,10.79 ,8.70 
398,KANADEA,oni,643,3.66 ,6.03 ,7.62 ,3.27 ,0.38 ,5.73 ,5.37 ,8.61 
399,Pico Pico Ruin,edit,1000,11.01 ,9.78 ,8.57 ,10.91 ,10.28 ,7.87 ,11.60 ,1.84 
399,Pico Pico Ruin,oni,876,8.97 ,8.60 ,4.96 ,8.57 ,10.22 ,7.85 ,7.78 ,1.75 
400,Sacred Ruin,edit,1000,11.01 ,9.78 ,8.57 ,10.91 ,10.28 ,7.87 ,11.60 ,1.84 
400,Sacred Ruin,oni,876,8.97 ,8.60 ,4.96 ,8.57 ,10.22 ,7.85 ,7.78 ,1.75 
401,吸哈2000,oni,668,11.87 ,12.13 ,13.08 ,11.38 ,12.45 ,13.33 ,11.53 ,14.03 
402,Rotter Tarmination,edit,943,12.25 ,11.88 ,11.71 ,12.88 ,11.26 ,14.50 ,12.33 ,9.52 
402,Rotter Tarmination,oni,681,6.95 ,6.88 ,6.28 ,7.28 ,6.96 ,8.67 ,6.46 ,3.16 
403,RUMBLE乱舞,edit,765,5.62 ,6.45 ,6.25 ,6.91 ,2.57 ,6.85 ,6.25 ,6.38 
403,RUMBLE乱舞,oni,625,3.16 ,3.54 ,6.65 ,4.72 ,2.22 ,9.78 ,1.54 ,1.75 
404,禁食2000,oni,821,8.66 ,7.83 ,4.58 ,9.75 ,7.68 ,5.41 ,8.25 ,2.05 
405,软软战车,edit,889,9.60 ,8.13 ,4.45 ,13.30 ,3.05 ,0.70 ,9.32 ,0.58 
405,软软战车,oni,488,1.93 ,2.09 ,2.33 ,3.21 ,0.16 ,0.62 ,0.86 ,2.54 
406,TSUN-DERE Café E YOKOSO☆,oni,555,5.55 ,8.48 ,10.13 ,3.45 ,1.11 ,8.46 ,8.85 ,11.81 
407,Wasabi Body Blow,oni,959,8.55 ,8.19 ,4.71 ,10.88 ,8.96 ,7.50 ,4.27 ,1.91 
408,Highschool love!,oni,387,1.27 ,1.10 ,0.65 ,2.19 ,0.14 ,0.03 ,0.00 ,0.34 
410,天妖ノ舞,oni,687,5.44 ,5.46 ,3.59 ,7.64 ,5.25 ,6.11 ,1.31 ,2.35 
411,花开艳丽终散落,oni,363,3.22 ,2.93 ,2.32 ,2.77 ,0.36 ,0.03 ,4.79 ,2.11 
412,Night of Knights / Knight of Nights,oni,651,6.88 ,6.88 ,7.31 ,7.96 ,7.48 ,9.81 ,4.61 ,3.58 
413,Bad Apple!! feat.nomico,oni,544,2.62 ,2.79 ,3.11 ,3.89 ,0.28 ,0.03 ,2.26 ,3.39 
414,琪露诺的完美算术教室,edit,939,11.23 ,9.61 ,8.42 ,11.98 ,8.85 ,7.87 ,12.34 ,4.76 
414,琪露诺的完美算术教室,oni,692,5.28 ,5.38 ,3.60 ,7.65 ,4.92 ,6.33 ,0.00 ,2.43 
415,太鼓ラブ！,oni,521,1.10 ,1.73 ,2.54 ,1.89 ,0.03 ,0.05 ,0.00 ,2.95 
416,"Help me, ERINNNNNN!!",oni,542,4.65 ,5.33 ,5.30 ,4.47 ,6.19 ,7.90 ,2.41 ,5.09 
417,Grip & Break down !! -达人Edit.-,edit,777,8.44 ,7.57 ,5.72 ,8.44 ,5.33 ,2.83 ,10.55 ,4.89 
417,Grip & Break down !! -达人Edit.-,oni,495,1.19 ,1.42 ,1.38 ,2.00 ,0.44 ,2.83 ,0.00 ,1.20 
418,幻想のサテライト,oni,611,8.20 ,8.85 ,9.40 ,6.20 ,10.03 ,10.42 ,7.76 ,8.64 
419,ケロ⑨destiny,oni,769,10.29 ,9.04 ,5.68 ,10.07 ,8.13 ,5.63 ,12.11 ,3.24 
420,月隐於丛云花散於风,oni,382,1.61 ,1.84 ,1.83 ,2.46 ,0.89 ,2.83 ,0.92 ,1.76 
421,Necro Fantasia ～ Arr.Demetori,oni,1160,9.23 ,8.64 ,4.73 ,11.50 ,10.00 ,7.50 ,4.48 ,0.44 
422,NeGa/PoSi*ラブ/コール,edit,776,4.44 ,4.48 ,2.90 ,5.55 ,4.91 ,7.57 ,1.84 ,0.27 
422,NeGa/PoSi*ラブ/コール,oni,642,1.83 ,1.96 ,1.57 ,3.09 ,0.60 ,4.93 ,0.00 ,0.12 
423,Endless Seeker,oni,644,4.95 ,5.34 ,5.54 ,5.87 ,1.75 ,3.53 ,5.93 ,5.87 
424,東京ソーダ 8Bit Edit,oni,745,6.39 ,6.25 ,3.45 ,7.73 ,6.89 ,6.34 ,3.72 ,0.72 
425,Taiko Time,edit,876,11.32 ,9.42 ,11.59 ,11.18 ,7.21 ,5.98 ,14.24 ,12.11 
425,Taiko Time,oni,765,8.10 ,8.86 ,10.72 ,9.47 ,5.11 ,5.17 ,8.86 ,11.79 
426,The arrow was shot,oni,693,3.55 ,3.69 ,3.01 ,3.74 ,4.54 ,7.58 ,1.67 ,1.74 
427,God Ray,oni,777,12.12 ,11.02 ,11.02 ,11.97 ,10.55 ,12.05 ,13.45 ,6.96 
